2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 47]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 43]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 46]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 47]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 2 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 43]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 46]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 47]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 61]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 63]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 0 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 64]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 68]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 70]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 1 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 71]
2013-06-10 17:15:59 Notice: Notice (8): Undefined offset: 3 in [/opt/xplico/xi/app/views/conversations/view.ctp, line 78]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: time1 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 118]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: time2 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 119]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 120]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 121]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 122]
2013-06-10 17:56:11 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 131]
2013-06-10 17:56:11 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 164]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 304]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 307]
2013-06-10 17:56:11 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 308]
2013-06-10 17:56:33 Notice: Notice (8): Undefined index: time1 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 118]
2013-06-10 17:56:33 Notice: Notice (8): Undefined index: time2 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 119]
2013-06-10 17:56:33 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 120]
2013-06-10 17:56:33 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 121]
2013-06-10 17:56:33 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 122]
2013-06-10 17:56:33 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 131]
2013-06-10 17:56:33 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 164]
2013-06-10 17:56:34 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 304]
2013-06-10 17:56:34 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 307]
2013-06-10 17:56:34 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 308]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: time1 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 118]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: time2 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 119]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 120]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 121]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 122]
2013-06-10 17:56:45 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 131]
2013-06-10 17:56:45 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 164]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 304]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 307]
2013-06-10 17:56:45 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 308]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: time1 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 118]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: time2 in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 119]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 120]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 121]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 122]
2013-06-10 17:56:55 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 131]
2013-06-10 17:56:55 Notice: Notice (8): Undefined variable: option in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 164]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: speakers in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 304]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: text in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 307]
2013-06-10 17:56:55 Notice: Notice (8): Undefined index: lines in [/opt/xplico/xi/app/controllers/conversations_controller.php, line 308]
2013-06-10 18:10:40 Notice: Notice (8): Undefined variable: sip_media_0xb6b0ca28_1370877885_mix in [/opt/xplico/xi/app/views/conversations/update.ctp, line 11]
